Year,ISO3,population
2075,JAM,1728537.0
2076,JAM,1697150.0
2077,JAM,1665982.0
2078,JAM,1634872.0
2079,JAM,1604292.0
2080,JAM,1573759.0
2081,JAM,1543488.0
2082,JAM,1513887.0
2083,JAM,1484732.0
2084,JAM,1456343.0
2085,JAM,1428134.0
2086,JAM,1400275.0
2087,JAM,1373122.0
2088,JAM,1346597.0
2089,JAM,1320663.0
2090,JAM,1295284.0
2091,JAM,1270593.0
2092,JAM,1246483.0
2093,JAM,1223073.0
2094,JAM,1200319.0
2095,JAM,1178235.0
2096,JAM,1156789.0
2097,JAM,1135912.0
2098,JAM,1115497.0
2099,JAM,1095600.0
2100,JAM,1076182.0
2101,JAM,1057367.0
1950,JEY,56573.0
1951,JEY,57647.0
1952,JEY,58385.0
1953,JEY,59045.0
1954,JEY,59681.0
1955,JEY,60312.0
1956,JEY,60898.0
1957,JEY,61463.0
1958,JEY,62059.0
1959,JEY,62690.0
1960,JEY,63322.0
1961,JEY,63965.0
1962,JEY,64631.0
1963,JEY,65290.00000000001
1964,JEY,65948.0
1965,JEY,66596.0
1966,JEY,67223.0
1967,JEY,67847.0
1968,JEY,68434.0
1969,JEY,68938.0
1970,JEY,69420.0
1971,JEY,69889.0
1972,JEY,70914.0
1973,JEY,72046.0
1974,JEY,73086.0
1975,JEY,74053.0
1976,JEY,74959.0
1977,JEY,75429.0
1978,JEY,75743.0
1979,JEY,76043.0
1980,JEY,76371.0
1981,JEY,76695.0
1982,JEY,77403.0
1983,JEY,78236.0
1984,JEY,79087.0
1985,JEY,79943.0
1986,JEY,80800.0
1987,JEY,81548.0
1988,JEY,82239.0
